gallery_000.bmp 248 262 43 246 268 122 309 264 308 110 94 -4.65551
gallery_001.bmp 247 261 34 243 259 120 271 277 270 120 50 -6.25836
gallery_002.bmp 254 270 33 250 268 117 270 254 274 94 88 -12.1894
gallery_003.bmp 346 273 32 342 276 120 300 259 281 89 81 -11.5692
gallery_004.bmp 275 262 35 273 263 117 281 255 284 103 91 -12.2776
gallery_005.bmp 373 254 37 381 255 122 369 258 270 117 66 10.3143
gallery_011.bmp 232 268 53 235 274 145 320 222 320 85 152 8.33211
gallery_010.bmp 397 296 41 390 312 117 368 300 269 95 87 1.48787
gallery_009.bmp 454 272 40 460 268 125 424 227 213 46 141 2.81556
gallery_008.bmp 429 276 38 435 272 120 409 278 232 80 88 11.2617
gallery_007.bmp 436 271 39 442 269 122 408 266 236 86 100 13.4486
gallery_006.bmp 379 260 36 385 263 122 385 267 255 20 68 8.43107
